Please can you send me the proof of NCD?, ncd_proof
Is it possible to renew my car policy but add NCD protection to the policy????, ncd_protect
Is it possible to renew my car policy but add No Claims Bonus protection to the policy????, ncd_protect
Is it possible to renew my car policy but add No Claims Discount protection to the policy????, ncd_protect
I am struggling to upload my picture of my NCD as I can find where in your website. Please help me, ncd_protect
I note that my NCD is showing as unprotected. I was sure that I opted to protect my NCD. Please help me., ncd_protect
I am struggling to upload my picture of my No Claims Bonus as I can find where in your website. Please help me., ncd_protect
I would like to protect my NCD when I renew but I can't see where to make this change. Can you make the change?, ncd_protect
I would like to protect my No Claims Discount when I renew but I can't see where to make this change. Can you make the change?, ncd_protect
I would like to protect my No Claims Bonus when I renew but I can't see where to make this change. Can you make the change?, ncd_protect
I would like to add protection to my NCD, can I do so even though I have already purchased my insurance in full?, ncd_protect
I am struggling to upload my picture of my No Claims Discount as I can find where in your website. Please help me., ncd_protect
I note that my No Claims Bonus is showing as unprotected. I was sure that I opted to protect my NCD. Please help me., ncd_protect
I note that my No Claims Discount is showing as unprotected. I was sure that I opted to protect my NCD. Please help me., ncd_protect
I would like to add protection to my No Claims Bonus can I do so even though I have already purchased my insurance in full., ncd_protect
I would like to add protection to my No Claims Discount can I do so even though I have already purchased my insurance in full., ncd_protect
I would like to protect my NCD when I renew but I can't see where to make this change.  Can you make the change?, ncd_protect

Please check your records and advise how many years NCD I have?, ncd_years_have
Please check your records and advise how many years No Claims Bonus I have?, ncd_years_have
Please check your records and advise how many years No Claims Discount I have?, ncd_years_have
I would like to check how many years NCD you have on record., ncd_years_have
I would like to check how many years No Claims Bonus you have on record., ncd_years_have
I would like to check how many years No Claims Discount you have on record., ncd_years_have
I can't find the proof of my NCD and how many years i have left on it. Can you please help?, ncd_years_have
I can't find the proof of my No Claims Bonus and how many years i have left on it. Can you please help?, ncd_years_have
I can't find the proof of my No Claims Discount and how many years i have left on it. Can you please help?, ncd_years_have
Need to find out how many years NCD I have when my policy is up for renewal, ncd_years_have
Need to find out how many years No Claims Bonus I have when my policy is up for renewal, ncd_years_have
Need to find out how many years No Claims Discount I have when my policy is up for renewal, ncd_years_have
I would like to know is how many years have i got now on my NCD so I can shop around , ncd_years_have
I would like to know is how many years have i got now on my No Claims Bonus so I can shop around , ncd_years_have
I would like to know is how many years have i got now on my No Claims Discount so I can shop around , ncd_years_have
Please could you tell me how many years NCD I currently have?, ncd_years_have
Please could you tell me how many years No Claims Bonus I currently have?, ncd_years_have
Please could you tell me how many years No Claims Discount I currently have?, ncd_years_have
I need to know how many years NCD I currently have., ncd_years_have
I need to know how many years No Claims Bonus I currently have., ncd_years_have
I need to know how many years No Claims Discount I currently have., ncd_years_have
How many years NCD I will have when my policy ends?, ncd_years_have
How many years No Claims Bonus will have when my policy ends?, ncd_years_have
How many years No Claims Discount will have when my policy ends?, ncd_years_have

I have xx years NCD why I am showing 9 years? Can you please change it for me?, ncd_9_years
I have xx years No Claims Bonus why I am showing 9 years? Can you please change it for me?, ncd_9_years
I have xx years No Claims Discount why I am showing 9 years? Can you please change it for me?, ncd_9_years
My NCD is showing as 9 years. I have x years NCD .Can you please amend ?, ncd_9_years
My No Claim Bonus is showing as 9 years. I have x years NCD .Can you please amend ?, ncd_9_years
My No Claim Discount is showing as 9 years. I have x years NCD .Can you please amend ?, ncd_9_years
The NCD certificate provided only states 9+ instead of the full X yrs I have accrued.Please can you provide me with an NCD certificate that confirms the full X yrs I have earned., ncd_9_years
The No Claims Bonus certificate provided only states 9+ instead of the full X yrs I have accrued.Please can you provide me with certificate that confirms the full X yrs I have earned., ncd_9_years
The No Claims Discount certificate provided only states 9+ instead of the full X yrs I have accrued.Please can you provide me with the certificate that confirms the full X yrs I have earned., ncd_9_years
It's showing only 9 years NCD on my policy I supplied proof of X years. Could it please be changed?, ncd_9_years
It's showing only 9 years No Claims Bonus on my policy I supplied proof of X years. Could it please be changed?, ncd_9_years
It's showing only 9 years No Claims Discount on my policy, I supplied proof of X years. Could it please be changed?, ncd_9_years
I have over 9 years NCD.  Can we preserve my X years NCD history if we take out a policy with you., ncd_9_years
I have over 9 years No Claims Bonus.  Can we preserve my X years NCD history if we take out a policy with you., ncd_9_years
I have over 9 years No Claims Discount.  Can we preserve my X years NCD history if we take out a policy with you., ncd_9_years
I have X years NCD but my policy is stating 9 years which needs amending, ncd_9_years
I have X years No Claims Bonus but my policy is stating 9 years which needs amending, ncd_9_years
I have X years No Claims Discount but my policy is stating 9 years which needs amending, ncd_9_years
I have just seen on my policy that it states I have a NCD of 9 years. This is incorrect I have much more than that. Please advise , ncd_9_years
I have just seen on my policy that it states I have a No Claims Bonus of 9 years. This is incorrect I have much more than that. Please advise , ncd_9_years
I have just seen on my policy that it states I have a No Claims Discount of 9 years. This is incorrect I have much more than that. Please advise , ncd_9_years
Hi i just noticed on my policy that i have 9 years NCD but its meant to be X years., ncd_9_years
Hi i just noticed on my policy that i have 9 years No Claims Bonus but its meant to be X years., ncd_9_years
Hi i just noticed on my policy that i have 9 years No Claims Discount but its meant to be X years., ncd_9_years

I have no NCD proof for current car can I proceed with my policy?, no_ncd
I don't have a proof of NCD. Is it ok?, no_ncd
I lost my NCD due to a claim. Can I still purchase my policy with zero years?, no_ncd
I have just received an email from my old insurer stating that I have no NCD. How can I amend my policy?, no_ncd
Im stuggling to get my NCD can I have my policy with zero years NCD?, no_ncd
I have now 2 vehicles but no NCD. Can I purchase a policy with zero years NCD?, no_ncd
I have no NCD proof for current car. Do I have to cancel or can I go ahead with zero years?, no_ncd
I just found out I have no NCD. Is it a problem to reduce my NCD to zero?, no_ncd
Will be a problem if I complete my quote with zero years NCD?, no_ncd
Is it an issue if I have no NCD? , no_ncd
What happen to my policy if I have no NCD ? , no_ncd
What happen to my new policy If I change my policy to zero years NCD?, no_ncd
Can I still keep my policy if I don't provide my NCD?, no_ncd
Do I have to cancel my policy if I don't provide a NCD? Just found out I have zero years., no_ncd
My previous insurer just told me I have zero years NCD. Can I still keep my new policy?, no_ncd
I won't be able to provide a proof of NCD. Does it mean I have to cancel my policy?, no_ncd
My certificate shows I have zero years. Do I have to cancel my policy?, no_ncd

I have just taken out this policy and realised my NCD may not be accepted as I drove a company car before this one., ncd_other_company
I have just seen that you do not accept evidence of NCD for company cars. I have a letter from my company fleet department; why can't this be used?, ncd_other_company
You will see I have submitted a NCD for a company car. Can you accept it?, ncd_other_company
I have been under a company car insurance policy for the last X years or so. Can you accept it?, ncd_other_company
My proof of NCD is from my employers as I have had a company car in recent years. I was under the impression that this would be acceptable please advise., ncd_other_company
I have held a company car for X years,Please can you advise how I proceed - will you accept this letter from my employer?  , ncd_other_company
I have just taken out this policy and realised my NCD may not be accepted as I drove a company car before this one. Please help., ncd_other_company
My policy is new. I have just realised I can't use my proof of NCD earned by my company car. Can you have a look at it for me?, ncd_other_company
Why can't I use my NCD earned from a company car? I have over X years., ncd_other_company
Could you please let me know if I can use my X years of NCD from my company car?, ncd_other_company
All my NCD is earned from my company vehicle. Can you help me?, ncd_other_company
I've been driving my company car for the last X years. I have no NCD from private car. Help me, ncd_other_company
I can provide more than X years NCD from company car, why can I use it?, ncd_other_company
I wouldn't have purchase my policy if I knew I couldn't use my NCD earned from a company car. Can you please approve my NCD?, ncd_other_company
Can you please help me, my NCD is eanerd from a company car., ncd_other_company
I have been using my company car for more than X years and all my NCD comes from it. Can I use it?, ncd_other_company

Can I use my NCD for my second vehicle. I'm using your multicar discount., ncd_mirror
Does your multicar discount allows me to use the same NCD on both policies?, ncd_mirror
I have 2 cars insured with you. Can I profit of the Multicar discount and use same NCD for both cars., ncd_mirror
I have just purchased two policies with you. Can I use the same NCD ? I'm using your multicar discount, ncd_mirror
I have one car insured with you already - will I get another Multicar discount if I get a second one? Can I use the same NCD?, ncd_mirror
I have only one NCD, can I use that one on my second policy ? I'm on your multicar discount, ncd_mirror
If I have a second policy with you using your multicar discount can use the same NCD?, ncd_mirror
If you offer a multicar discount you should allow my NCD to be used on my second vehicle also., ncd_mirror
I've set up under a multicar policy.  Please can you amend the NCD to show Janice Sury at the same address., ncd_mirror
Please validate my second vehicle with the NCD I have provided already. I'm on the multicar scheme., ncd_mirror
Would it be possible to mirror my NCD? I'm thinking of getting a second car and use your multicar discount, ncd_mirror

I've been living abroad for the past x years. Can I use my NCD from x ?, ncd_foreign
Can you accept my NCD from x ?, ncd_foreign
My NCD is from x. Can I still use it?, ncd_foreign
My previous insurer was from x. Do you accept it?, ncd_foreign
My NCD is not from the UK it's from x. Can you accept it?, ncd_foreign
The only proof of No Claims Discount I can provide is from x. Is it ok?, ncd_foreign
Would you accept my x proof of No Claims Discount?, ncd_foreign
If I translate my NCD from x would you accept it?, ncd_foreign
I can only provide a proof of NCD from x. Will it be accepted ?, ncd_foreign
My NCD was earn in my home country. Would you accept it? , ncd_foreign
Would you recognise my foreign No ClaimS Bonus?, ncd_foreign
What if I have earned No Claim Discount on motor insurance overseas?, ncd_foreign
Would you accept my proof from overseas?, ncd_foreign
I hold an overseas proof of No Claims Discount. Would you accept it?, ncd_foreign
I can only provide a proof of NCD from overseas. What is the procedure?, ncd_foreign

 is it possible to transfer my NCD to the second car?, ncd_transfer
Can I please transfer my NCD from my vehicle x to y ?, ncd_transfer
I have 2 sets of NCDs. Can I transfer one of my NCDs to my partner?, ncd_transfer
Can you arrange for a letter from yourselves advising that the NCD is transferred into my partner's name ?, ncd_transfer
We've bought a second car and would like to transfer our NCD from this policy to the new one. Is that possible?, ncd_transfer
 is it possible to transfer my NCD to the second car?, ncd_transfer
I have a NCD applied to this policy. I would like to transfer the NCD across from x to Y. Please can you confirm it is possible?, ncd_transfer
Could I please have my partner's NCD transfer to me?, ncd_transfer
My partner is the policy holder on this policy. Can my NCD be transfer to him/her?, ncd_transfer
What do I have to do to transfer  my NCD to my partner?, ncd_transfer
What is the procedure to transfer my NCD to my partner?, ncd_transfer
Can I transfer my no claim discount (NCD) to another person?, ncd_transfer
Is the NCD tied to the policy or to the person ?, ncd_transfer

Having a problem uploading ncd on my phone. When tap upload picture it won't do it and stops., ncd_phone_no_load
Your app is not working. How would I upload my proof of No Claims Discount., ncd_phone_no_load
Is there a problem with your app. I can't upload my NCD using my phone device., ncd_phone_no_load
I'am trying to upload my NCD discount but it wont let me and it through the app on my phone, ncd_phone_no_load
Hi, I have proof of my ncd I am unable to upload this because your app is not working. , ncd_phone_no_load
Your app wont allow me to send my NCD proof. It keeps crashing, ncd_phone_no_load
Im trying to upload the NCD on the app and its not working saying...'Unexpected Response from Server length required', ncd_phone_no_load
On my mobile phone it doesn't allow me to upload it says attach but doesn't allow me to attach or proceed , ncd_phone_no_load
I am having trouble unloading my ncd. I use my phone and I watched video as well. It didn't work on that so I try using phone app but still  not letting me to upload my ncd., ncd_phone_no_load
I can't upload my NCD using the app. Please help., ncd_phone_no_load
I have tried sending it on the app but it comes up with an error on my phone I want to know what other way I can prove my NCD? , ncd_phone_no_load
I cannot upload my ncd. Tried various ways and none of them work. I have used an I pad an android phone and an I mac..please advise, ncd_phone_no_load
Hi I'm having a problem to send my NCD. When I try to do this It show me unexpected response from server length required. I've tried on my ipad and my phone with no luck. Can you tell  me what to do?, ncd_phone_no_load

I am having trouble getting proof of my  NCD could you contact my previous insurer for it please ?, ncd_contact_other_insurer
I can't find my proof of NCD. Could you please phone my previous insurer to confirm it? , ncd_contact_other_insurer
Can you contact my previous insurer regarding my NCD. I'm having problem finding it., ncd_contact_other_insurer
If I can't provide my proof of NCD would you call my previous insurer for me?, ncd_contact_other_insurer
Could you please call my previous insurer to confirm my proof of NCD?, ncd_contact_other_insurer
My previous insurer is able to provide the information about my NCD over the telephone. Could you please give them a call?, ncd_contact_other_insurer
Would it be possible for you to contact my previous insurers?, ncd_contact_other_insurer
Is there any chance you can contact my previous insurer about my proof of No Claims Discount?, ncd_contact_other_insurer
Regarding ncd do I have to contact my insurer or if I give you my policy number can you contact insurer on my behalf ?, ncd_contact_other_insurer
I am having problems getting to a printer or scanner so can't send you my Ncd. Could you contact my previous insurer and request this information ?, ncd_contact_other_insurer
I would appreciate if you could call my previous insurer regarding my NCD. , ncd_contact_other_insurer
My previous insurance have said you can contact them for a verbal proof., ncd_contact_other_insurer
Could you confirm my NCD by calling my previous insurer?, ncd_contact_other_insurer

I have driven a mobility vehicle since x this is the only ncd I have. Can you accept it?, ncd_mobility
My NCD is earned from Mobility. Would you validate it?, ncd_mobility
I've been using Mobility for the past x years. Can I use my NCD  ?, ncd_mobility
Can you accept my NCD from Mobility ?, ncd_mobility
My NCD is from Mobility. Can I still use it?, ncd_mobility
My previous NCD is from Mobility. Do you accept it?, ncd_mobility
The only proof of No Claims Discount I can provide is from Mobility. Is it ok?, ncd_mobility
Would you accept my Mobility proof of No Claims Discount?, ncd_mobility
I can only provide a proof of NCD from Mobility. Will it be accepted ?, ncd_mobility
My NCD was earn from Mobility. Would you accept it? , ncd_mobility
Would you recognise my mobility No Claims Bonus?, ncd_mobility
What if I have earned No Claim Discount on Mobility. Would you accept it?, ncd_mobility
Would you accept my proof from Mobility?, ncd_mobility
I hold a Mobility proof of No Claims Discount. Would you accept it?, ncd_mobility
I can only provide a proof of NCD from Mobility. What is the procedure?, ncd_mobility

Despite of sending my proof of NCD as required my policy has been cancelled. My question is WHY??, ncd_policy_canceled
I had an email saying my proof of NCDs was accepted. However I have had a letter asking where is my NCD proof and my policy will be cancelled in 2 days., ncd_policy_canceled
I've sent my proof of NCD but you still cancelled my policy. Please help?, ncd_policy_canceled
I have provided my proof of No Claims Discount but you still cancelled my policy. , ncd_policy_canceled
Why did you cancel my policy if I have already provided my NCD?, ncd_policy_canceled
I have uploaded my proof of NCD twice now and you have cancelled my NCD. Please reinstate?, ncd_policy_canceled
Could you please reinstate my policy for me? I have sent my NCD but you cancelled my policy?, ncd_policy_canceled
My policy has been cancelled in error - I uploaded My NCD within the time limit and yet the policy has been cancelled leaving me uninsured and unable to drive., ncd_policy_canceled
I uploaded my NCD but have just had a message to say my car insurance has been cancelled , ncd_policy_canceled
You have cancelled my policy when I have an email from you saying you received my NCD. Please confirm., ncd_policy_canceled
Please reinstate my policy. I have sent my proof of No Claims Discount., ncd_policy_canceled
You cancelled my policy when I have sent my NCD by email. Reinstate my policy please., ncd_policy_canceled
I uploaded my NCD on x but you now cancel my policy. Please advise., ncd_policy_canceled
You cancelled my policy even though I have sent you my certificate of No Claims Discount., ncd_policy_canceled
I've received an email and text saying my policy has been cancelled because I havent uploaded my Proof of NCD. I have sent my proof and received email confirmation saying that everything was fine and I didn't need to do anything else., ncd_policy_canceled

Can you let me know if you accept my NCD from my camper van?, ncd_camper_van
I have driven a camper van vehicle since x this is the only ncd I have. Can you accept it?, ncd_camper_van
My NCD is earned from a camper van. Would you validate it?, ncd_camper_van
I've been using Mobility for the past x camper van. Can I use my NCD  ?, ncd_camper_van
Can you accept my NCD from a camper van ?, ncd_camper_van
My NCD is from a Camper van. Can I still use it?, ncd_camper_van
My previous NCD is from a camper van. Do you accept it?, ncd_camper_van
The only proof of No Claims Discount I can provide is from Camper van. Is it ok?, ncd_camper_van
Would you accept my Mobility proof of No Claims Discount?, ncd_camper_van
I can only provide a proof of NCD from camper van. Will it be accepted ?, ncd_camper_van
My NCD was earn from my Camper van. Would you accept it? , ncd_camper_van
Would you recognise my camper van No Claims Bonus?, ncd_camper_van
What if I have earned No Claim Discount on a camper van. Would you accept it?, ncd_camper_van
Would you accept my proof from a camper van?, ncd_camper_van
I hold a camper van proof of No Claims Discount. Would you accept it?, ncd_camper_van
I can only provide a proof of NCD from my camper van. What is the procedure?, ncd_camper_van

Can I post the NCD proof and if so to what address ?, ncd_post
I don't know how to send your my proof of NCD. Can I post it to you? If so where to as I have no address. , ncd_post
My server will not allow me to send a photo of my NCD proof. Can I post a copy to you please?, ncd_post
I can not upload my ncd. The pictures I am taking on my phone are not clear enough and I don't have a scanner. Where can I post the document?, ncd_post
Can I post my proof of No Claims Discount ?, ncd_post
What is the best address to post you my proof of No Claims Discount?, ncd_post
I'm having problems uploading my proof of No Claims Discount. Can I email you?, ncd_post
Where can I post my proof of No Claims Discount to?, ncd_post
I am struggling to upload my NCD can i send it by post or E mail?, ncd_post
I need to provide my proof of No Claims Discount but I can't upload the document. Can I post it to you?, ncd_post

Can I email my proof of NCD and to what address ?, ncd_email
I don't know how to upload you my proof of NCD. Can I email it to you. If so where to as I have no email address ?, ncd_email
My server will not allow me to send a photo of my NCD proof. Can I email a copy to you please?, ncd_email
Can I email you my proof of No Claims Discount ?, ncd_email
What is the best email address to email you my proof of No Claims Discount?, ncd_email
I'm having problems uploading my proof of No Claims Discount. Could I please email it to you?, ncd_email
Where can I email my proof of No Claims Discount to?, ncd_email
I am struggling to upload my NCD can i send it by post or E mail?, ncd_email
I need to provide my proof of No Claims Discount but I can't upload the document. Can I email it to you?, ncd_email

I have 2 different proof of NCD from 2 different companies. Can I combine them both?, ncd_combine
If I provide 2 proofs of NCD can you add them up?, ncd_combine
Could I add up 2 NCD proof?, ncd_combine
I have in total x years NCD but it is combined from 2 different insurers can you accept that?, ncd_combine
Can you validate 2 proof of NCD from 2 different insurers?, ncd_combine
My NCD comes from 2 different companies. Would you accept it?, ncd_combine
Can you please let me know if it's possible to combine 2 NCD from different insurers?, ncd_combine



















