====================
ncd_proof

proof , 0.6803017854690552 |
cars , 0.5416224002838135 |
discount , 0.15478217601776123 |
NCD , 0.11734048277139664 |
cars , 0.09384964406490326 |
Multicar , 0.09240532666444778 |
policies , 0.7825632095336914 |
discount , 0.133815199136734 |
NCD , 0.0836215615272522 |
car , 0.6138840913772583 |
discount , 0.23129132390022278 |
Multicar , 0.11060640960931778 |
NCD , 0.04421814903616905 |
NCD , 0.4764162003993988 |
one , 0.3367035388946533 |
policy , 0.10567888617515564 |
discount , 0.08120138198137283 |
policy , 0.4049537181854248 |
discount , 0.3868224024772644 |
NCD , 0.2082238644361496 |
discount , 0.41311556100845337 |
NCD , 0.37750735878944397 |
vehicle , 0.20937706530094147 |
policy , 0.6667193174362183 |
address , 0.1656583547592163 |
NCD , 0.13525159657001495 |
Janice Sury , 0.03237071633338928 |
vehicle , 0.6256441473960876 |
NCD , 0.26585906744003296 |
scheme , 0.10849679261445999 |
NCD , 0.7133088111877441 |
discount , 0.17589715123176575 |
car , 0.11079404503107071 |
====================
ncd_foreign

NCD , 1.0 |
NCD , 1.0 |
NCD , 1.0 |
insurer , 1.0 |
NCD , 0.8009183406829834 |
x , 0.1206546202301979 |
UK , 0.07842705398797989 |
proof , 0.7737239599227905 |
No Claims Discount , 0.22627605497837067 |
proof , 0.5834760665893555 |
No Claims Discount , 0.41652393341064453 |
x , 0.6242465972900391 |
NCD , 0.37575340270996094 |
proof , 0.5561891198158264 |
NCD , 0.4438108801841736 |
NCD , 0.7893913984298706 |
home country , 0.2106085866689682 |
No ClaimS Bonus , 1.0 |
Discount , 0.5644927620887756 |
motor insurance , 0.43550723791122437 |
proof , 0.7539867162704468 |
overseas , 0.24601328372955322 |
proof , 0.5934497117996216 |
No Claims Discount , 0.40655025839805603 |
overseas , 0.33980995416641235 |
proof , 0.28245681524276733 |
NCD , 0.22422944009304047 |
procedure , 0.15350382030010223 |
====================
ncd_transfer

car , 0.5364630818367004 |
NCD , 0.46353691816329956 |
NCD , 0.5197607278823853 |
vehicle , 0.48023930191993713 |
sets , 0.4784710109233856 |
NCDs , 0.2285613715648651 |
one , 0.15306197106838226 |
partner , 0.08155160397291183 |
NCDs , 0.058354027569293976 |
letter , 0.4465183913707733 |
partner , 0.22129052877426147 |
NCD , 0.17524117231369019 |
name , 0.1569499373435974 |
car , 0.3411090672016144 |
NCD , 0.25078707933425903 |
policy , 0.23129408061504364 |
one , 0.17680977284908295 |
car , 0.5364630818367004 |
NCD , 0.46353691816329956 |
NCD , 0.6708987951278687 |
policy , 0.2660598158836365 |
NCD , 0.06304139643907547 |
partner , 0.5330122709274292 |
NCD , 0.2989228069782257 |
transfer , 0.1680648922920227 |
policy holder , 0.7554501295089722 |
transfer , 0.12848223745822906 |
policy , 0.07784874737262726 |
NCD , 0.0382189080119133 |
partner , 0.6890381574630737 |
NCD , 0.31096184253692627 |
procedure , 0.5058428645133972 |
NCD , 0.2797974646091461 |
partner , 0.21435965597629547 |
claim discount , 0.43973106145858765 |
person , 0.3121854066848755 |
NCD , 0.24808353185653687 |
policy , 0.38456666469573975 |
NCD , 0.3386695981025696 |
person , 0.2767637073993683 |
====================
ncd_phone_no_load

problem , 0.5422273874282837 |
ncd , 0.22281889617443085 |
phone , 0.16377249360084534 |
picture , 0.07118120044469833 |
app , 0.8910025954246521 |
No Claims Discount , 0.06841390579938889 |
proof , 0.04058350995182991 |
problem , 0.562977135181427 |
app , 0.32796263694763184 |
phone device , 0.08100342750549316 |
NCD , 0.02805684320628643 |
discount , 0.4067153334617615 |
I'am , 0.30330023169517517 |
NCD , 0.12216354161500931 |
app , 0.09834515303373337 |
phone , 0.06947574764490128 |
proof , 0.4547966420650482 |
ncd , 0.31853413581848145 |
app , 0.22666922211647034 |
app , 0.7890061140060425 |
NCD , 0.13459312915802002 |
proof , 0.0764007493853569 |
NCD , 0.43723493814468384 |
Im , 0.2691272497177124 |
app , 0.12722183763980865 |
Server length , 0.09099562466144562 |
Response , 0.07542034983634949 |
mobile phone , 1.0 |
ncd , 0.6141971349716187 |
trouble , 0.28499868512153625 |
video , 0.04536633938550949 |
phone , 0.043504372239112854 |
phone app , 0.011933485977351665 |
app , 0.6164321899414062 |
NCD , 0.38356783986091614 |
app , 0.33716312050819397 |
error , 0.23394763469696045 |
phone , 0.2152523547410965 |
way , 0.1254001259803772 |
NCD , 0.08823677152395248 |
ncd , 0.48970699310302734 |
none , 0.175490602850914 |
ways , 0.1574431210756302 |
I mac , 0.12299724668264389 |
phone , 0.054362040013074875 |
problem , 0.5625513195991516 |
NCD , 0.2248634397983551 |
server length , 0.07535499334335327 |
luck , 0.05200562626123428 |
response , 0.03944878652691841 |
ipad , 0.022887909784913063 |
phone , 0.022887909784913063 |
====================
ncd_contact_other_insurer

proof , 0.5145221948623657 |
trouble , 0.33430811762809753 |
NCD , 0.09943477809429169 |
insurer , 0.05173487588763237 |
proof , 0.5053756237030029 |
insurer , 0.3526875674724579 |
NCD , 0.14193682372570038 |
NCD , 0.46606194972991943 |
insurer , 0.4103142023086548 |
problem , 0.12362384051084518 |
proof , 0.36869561672210693 |
insurer , 0.3394516706466675 |
NCD , 0.2918527126312256 |
insurer , 0.5542240738868713 |
NCD , 0.23654334247112274 |
proof , 0.20923259854316711 |
insurer , 0.6140024065971375 |
telephone , 0.1438635289669037 |
information , 0.11912593990564346 |
NCD , 0.0942036509513855 |
call , 0.028804460540413857 |
insurers , 1.0 |
chance , 0.4822971820831299 |
insurer , 0.28550636768341064 |
No Claims Discount , 0.14220030605793 |
proof , 0.08999614417552948 |
ncd , 0.561118483543396 |
insurer , 0.18580880761146545 |
insurer , 0.13169802725315094 |
behalf , 0.08188089728355408 |
policy number , 0.03949376568198204 |
problems , 0.6917004585266113 |
printer , 0.12892307341098785 |
scanner , 0.0886627584695816 |
Ncd , 0.04956856369972229 |
insurer , 0.03057575225830078 |
information , 0.010569416917860508 |
NCD , 0.7134106755256653 |
insurer , 0.2865893542766571 |
insurance , 0.6502009034156799 |
proof , 0.34979909658432007 |
NCD , 0.5007608532905579 |
insurer , 0.49923911690711975 |
====================
ncd_mobility

mobility vehicle , 1.0 |
NCD , 0.7709550261497498 |
Mobility , 0.22904497385025024 |
Mobility , 0.8515732288360596 |
NCD , 0.14842675626277924 |
NCD , 0.6540338397026062 |
Mobility , 0.3459661900997162 |
NCD , 0.7818917632102966 |
Mobility , 0.21810822188854218 |
NCD , 0.5091662406921387 |
Mobility , 0.49083372950553894 |
proof , 0.7300253510475159 |
No Claims Discount , 0.20364011824131012 |
Mobility , 0.06633451581001282 |
Mobility proof , 0.5834760665893555 |
No Claims Discount , 0.41652393341064453 |
proof , 0.39547663927078247 |
NCD , 0.3146262466907501 |
Mobility , 0.2898971140384674 |
NCD , 0.7881624102592468 |
Mobility , 0.21183760464191437 |
mobility , 0.6110301613807678 |
No Claims Bonus , 0.3889698386192322 |
Discount , 0.5200209617614746 |
Mobility , 0.4799790382385254 |
proof , 0.7539867162704468 |
Mobility , 0.24601328372955322 |
Mobility proof , 0.5934497117996216 |
No Claims Discount , 0.40655025839805603 |
proof , 0.32591426372528076 |
NCD , 0.2587283253669739 |
Mobility , 0.2382362335920334 |
procedure , 0.17712119221687317 |
====================
ncd_policy_canceled

proof , 0.41395679116249084 |
policy , 0.2909895181655884 |
NCD , 0.1744450479745865 |
question , 0.12060865759849548 |
email , 0.3609752953052521 |
letter , 0.2988293468952179 |
proof , 0.16723717749118805 |
NCDs , 0.13813206553459167 |
policy , 0.0348261296749115 |
proof , 0.7333997488021851 |
NCD , 0.17440246045589447 |
policy , 0.09219778329133987 |
proof , 0.4581198990345001 |
policy , 0.29126375913619995 |
No Claims Discount , 0.2506163418292999 |
policy , 0.6442102789878845 |
NCD , 0.3557897210121155 |
proof , 0.6488910913467407 |
NCD , 0.3511089086532593 |
policy , 0.9774777293205261 |
NCD , 0.022522298619151115 |
policy , 0.48249125480651855 |
error , 0.18356198072433472 |
policy , 0.13367410004138947 |
time limit , 0.1282569319009781 |
NCD , 0.07201572507619858 |
NCD , 0.4398047924041748 |
message , 0.32814985513687134 |
car insurance , 0.23204536736011505 |
policy , 0.4964299201965332 |
email , 0.3428282141685486 |
NCD , 0.16074185073375702 |
policy , 0.5407634973526001 |
proof , 0.32622820138931274 |
No Claims Discount , 0.13300828635692596 |
policy , 0.7437598705291748 |
NCD , 0.17059962451457977 |
email , 0.08564049750566483 |
x , 0.4643201231956482 |
NCD , 0.38682082295417786 |
policy , 0.14885905385017395 |
policy , 0.5661537051200867 |
certificate , 0.23629188537597656 |
No Claims Discount , 0.19755442440509796 |
email , 0.41599223017692566 |
text , 0.13723687827587128 |
policy , 0.13723687827587128 |
Proof , 0.10143396258354187 |
proof , 0.09141968935728073 |
NCD , 0.05674807354807854 |
anything , 0.028382236137986183 |
everything , 0.015968406572937965 |
email confirmation , 0.015581652522087097 |
====================
ncd_camper_van

camper van , 0.5580651760101318 |
NCD , 0.44193482398986816 |
camper van vehicle , 1.0 |
NCD , 0.6733053922653198 |
camper van , 0.3266946077346802 |
Mobility , 0.5506712198257446 |
camper van , 0.3548807203769684 |
NCD , 0.09444807469844818 |
camper van , 0.5364630818367004 |
NCD , 0.46353691816329956 |
NCD , 0.6963099837303162 |
van , 0.18957746028900146 |
Camper , 0.11411256343126297 |
NCD , 0.5091662406921387 |
camper van , 0.49083372950553894 |
proof , 0.7102890014648438 |
No Claims Discount , 0.19118818640708923 |
van , 0.06171399727463722 |
Camper , 0.036808788776397705 |
Mobility proof , 0.5834760665893555 |
No Claims Discount , 0.41652393341064453 |
camper van , 0.4006950259208679 |
proof , 0.33377009630203247 |
NCD , 0.2655348479747772 |
NCD , 0.7059192061424255 |
van , 0.1830419898033142 |
Camper , 0.11103881895542145 |
camper van , 0.6110301613807678 |
No Claims Bonus , 0.3889698386192322 |
Discount , 0.5200209617614746 |
camper van , 0.4799790382385254 |
proof , 0.5834760665893555 |
camper van , 0.41652393341064453 |
camper van proof , 0.5934497117996216 |
No Claims Discount , 0.40655025839805603 |
camper van , 0.35655733942985535 |
proof , 0.2959062457084656 |
NCD , 0.23452766239643097 |
procedure , 0.1130087599158287 |
====================
ncd_post

proof , 0.6212148666381836 |
NCD , 0.3787851631641388 |
proof , 0.5437519550323486 |
NCD , 0.3267335593700409 |
address , 0.12951448559761047 |
server , 0.6722037196159363 |
photo , 0.11355343461036682 |
proof , 0.10580569505691528 |
NCD , 0.06917034834623337 |
copy , 0.03926680609583855 |
ncd , 0.4639807343482971 |
pictures , 0.23700758814811707 |
phone , 0.1671537160873413 |
document , 0.08120397478342056 |
scanner , 0.050653982907533646 |
proof , 0.5834760665893555 |
No Claims Discount , 0.41652393341064453 |
address , 0.4182485044002533 |
proof , 0.3293944299221039 |
No Claims Discount , 0.2523570954799652 |
problems , 0.43399545550346375 |
proof , 0.2846415638923645 |
No Claims Discount , 0.28136295080184937 |
proof , 0.622587263584137 |
Discount , 0.20788326859474182 |
Claims , 0.16952945291996002 |
E , 0.33821165561676025 |
NCD , 0.2707316279411316 |
mail , 0.23948851227760315 |
post , 0.1515681892633438 |
proof , 0.46384453773498535 |
No Claims Discount , 0.4127853810787201 |
document , 0.12337005883455276 |
====================
ncd_email

proof , 0.6175768375396729 |
NCD , 0.38242319226264954 |
proof , 0.5290526747703552 |
NCD , 0.3372601568698883 |
email address , 0.13368715345859528 |
server , 0.6722037196159363 |
photo , 0.11355343461036682 |
proof , 0.10580569505691528 |
NCD , 0.06917034834623337 |
copy , 0.03926680609583855 |
proof , 0.5848137140274048 |
No Claims Discount , 0.4151862859725952 |
email address , 0.4182485044002533 |
proof , 0.3293944299221039 |
No Claims Discount , 0.2523570954799652 |
problems , 0.4248233139514923 |
No Claims Discount , 0.29762956500053406 |
proof , 0.27754712104797363 |
proof , 0.6474182605743408 |
Discount , 0.17629088461399078 |
Claims , 0.17629088461399078 |
E , 0.33821165561676025 |
NCD , 0.2707316279411316 |
mail , 0.23948851227760315 |
post , 0.1515681892633438 |
proof , 0.46384453773498535 |
No Claims Discount , 0.4127853810787201 |
document , 0.12337005883455276 |
====================
ncd_combine

proof , 0.47881606221199036 |
companies , 0.31545862555503845 |
NCD , 0.2057253122329712 |
proofs , 0.5569286346435547 |
NCD , 0.4430713355541229 |
NCD , 0.6338858604431152 |
proof , 0.36611413955688477 |
NCD , 0.9111786484718323 |
insurers , 0.08882138133049011 |
proof , 0.42635244131088257 |
